S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
37,57e1afc6-a597-4cab-9ddb-72a35c913358,3480,ONGOING,2022-11-26 00:18:45.955060+00:00,,2022-11-28 00:18:45.959200+00:00,,,,,
38,738049d5-018a-41e7-b2a1-8604fe07cad2,3340,ONGOING,2022-11-26 00:19:26.953516+00:00,,2022-11-28 00:19:26.956897+00:00,,,,,
39,b0afbb84-753c-4e3b-a461-254c04a0062e,3173,ONGOING,2022-11-26 00:19:35.987709+00:00,,2022-11-28 00:19:35.993542+00:00,,,,,
40,c925ccad-98e7-4500-833e-a49aa066aeec,3505,ONGOING,2022-11-26 00:19:47.467175+00:00,,2022-11-28 00:19:47.470456+00:00,,,,,
41,4960fecc-a53a-4d08-99e6-5ef807d9f270,3469,ONGOING,2022-11-26 00:20:03.371654+00:00,,2022-11-28 00:20:03.375553+00:00,,,,,
42,53134b4c-9bbf-4296-bea4-62587663f030,3173,ONGOING,2022-11-26 05:02:36.023014+00:00,,2022-11-28 05:02:36.027180+00:00,,,,,
43,c925ccad-98e7-4500-833e-a49aa066aeec,3237,ONGOING,2022-11-26 00:20:42.687283+00:00,,2022-11-28 00:20:42.692107+00:00,,,,,
44,f55000a3-dd68-44d8-b461-41c85d963ce2,2945,COMPLETED,2022-11-26 05:03:11.143774+00:00,2022-11-26 05:04:40.907464+00:00,,,,,,
45,4960fecc-a53a-4d08-99e6-5ef807d9f270,3477,ONGOING,2022-11-26 00:20:59.242213+00:00,,2022-11-28 00:20:59.246755+00:00,,,,,
46,3db62aad-421b-474e-9b1e-8a88ff370d4f,3269,ONGOING,2022-11-26 04:15:33.778713+00:00,,2022-11-28 04:15:33.872630+00:00,,,,,
47,53134b4c-9bbf-4296-bea4-62587663f030,3503,COMPLETED,2022-11-26 02:11:44.301954+00:00,2022-11-26 02:12:45.783440+00:00,,,,,,
48,c925ccad-98e7-4500-833e-a49aa066aeec,3451,ONGOING,2022-11-26 00:21:33.127670+00:00,,2022-11-28 00:21:33.133124+00:00,,,,,
49,57e1afc6-a597-4cab-9ddb-72a35c913358,3015,ONGOING,2022-11-26 00:21:19.510203+00:00,,2022-11-28 00:21:19.514316+00:00,,,,,
50,d601aaf2-2bfd-4e2d-9689-6828212bfe85,3173,ONGOING,2022-11-26 00:21:57.046435+00:00,,2022-11-28 00:21:57.051704+00:00,,,,,
51,e066a509-b551-43bf-87a3-7416ecb7ce73,3227,ONGOING,2022-11-26 00:22:20.519289+00:00,,2022-11-28 00:22:20.524630+00:00,,,,,
52,24d52554-971f-49a6-8d83-4e270eb44818,3340,ONGOING,2022-11-26 00:22:42.194525+00:00,,2022-11-28 00:22:42.199562+00:00,,,,,
